77083;48.8481;2.5960
94044;48.7454;2.4894
95176;48.9692;2.1991
24037;44.8574;0.4953
89387;48.1970;3.2892
59328;50.6519;3.0248
59017;50.6684;2.8763
33192;44.7708;-0.6165
77514;48.9416;2.6170
95582;48.9719;2.2534
91223;48.3976;2.1970
91286;48.6570;2.3874
33119;44.8547;-0.5213
91103;48.6039;2.3152
34145;43.6927;4.1101
83062;43.1266;6.0192
78208;48.7781;1.9608
49328;47.2534;-0.0966
44215;47.1603;-1.4709
15014;44.9195;2.3987
95203;48.9907;2.2775
64122;43.4436;-1.5256
13063;43.5843;5.0142
31395;43.4560;1.2849
34057;43.6380;3.9123
92078;48.9370;2.3255
91692;48.6746;2.1678
93057;48.9078;2.5033
49301;47.1261;-0.9984
76322;49.4093;1.0399
33249;44.8766;-0.5192
62427;50.4090;2.9593
91114;48.6945;2.5125
84035;43.8482;5.0431
95572;49.0445;2.1290
97420;-20.9454;55.5930
61001;48.4294;0.0883
17415;45.7574;-0.6043
27681;49.0879;1.4845
62119;50.5495;2.6562
03310;46.1075;3.4543
33069;44.8659;-0.6030
18279;47.2361;2.0235
33243;44.9226;-0.2345
33162;44.8969;-0.6664
97304;4.9335;-52.7663
25388;47.5248;6.8002
97118;16.1715;-61.6577
94054;48.7428;2.3954
02408;49.5539;3.5934
34108;43.4718;3.7773
94043;48.8089;2.3563
44047;47.2305;-1.7303
92032;48.7896;2.2871
91421;48.6960;2.4620
49023;47.2804;-0.9282
12202;44.3678;2.5314
97128;16.2574;-61.3877
93045;48.8814;2.4200
39198;47.0817;5.4765
83144;43.1504;5.9920
77152;48.5045;2.6143
45232;47.8140;1.8769
14327;49.2074;-0.3307
17299;45.9493;-0.9753
77122;48.6576;2.5753
56098;47.7692;-3.3270
77390;48.7896;2.6606
69244;45.7630;4.7550
45284;47.9165;1.9741
95197;48.9721;2.3265
78358;48.9430;2.1414
97117;16.3205;-61.3714
78640;48.7839;2.1973
85047;46.8368;-1.8927
52448;48.6466;4.9122
77468;48.8536;2.6508
68297;47.6023;7.5402
04112;43.8351;5.7912
59360;50.6087;3.0203
91272;48.7097;2.1277
13071;43.4030;5.3152
01283;46.2469;5.6523
95424;48.9938;2.1938
32013;43.6533;0.5749
80001;50.1085;1.8319
47323;44.4078;0.7120
78362;48.9751;1.7119
92072;48.8214;2.2099
77305;48.3779;2.9643
78005;48.9716;2.0882
76498;49.4244;1.0596
94003;48.8055;2.3340
51230;49.0369;3.9314
33199;44.5837;-1.0464
40088;43.7009;-1.0593
12145;44.0898;3.1062
38169;45.1930;5.6774
49092;47.2130;-0.7244
91345;48.6879;2.2816
93049;48.8636;2.5105
59295;50.7161;2.5350
60463;49.2762;2.4642
38563;45.3696;5.5987
45147;47.9620;1.9552
59368;50.6548;3.0695
91570;48.6326;2.3117
95428;48.9921;2.3212
57480;49.0958;6.1541
69202;45.7361;4.7936
91434;48.6562;2.3513
06079;43.5383;6.9178
13041;43.4527;5.4800
97222;14.6749;-60.9426
77243;48.8817;2.7026
13002;43.3533;5.5116
62178;50.4899;2.5518
69091;45.5742;4.7382
95555;48.9693;2.2847
78545;48.8065;2.0656
77350;48.7639;2.6807
69204;45.6947;4.7892
85146;46.9707;-1.2738
94059;48.8064;2.5749
59410;50.6428;3.1073
31424;43.5572;1.2855
94067;48.8414;2.4182
92014;48.7804;2.3175
94077;48.7322;2.4106
44026;47.3000;-1.4503
92071;48.7768;2.2982
29039;47.8961;-3.9074
52121;48.0957;5.1365
67267;48.5553;7.6817
78123;48.9454;2.0287
59155;51.0183;2.3956
59646;50.6755;3.1279
59279;50.7749;3.1266
44035;47.3309;-1.5375
59172;50.3316;3.4046
31157;43.5340;1.3349
78383;48.7605;1.9190
92022;48.8072;2.1918
59163;50.6739;3.1550
44020;47.1708;-1.6166
94042;48.8195;2.4706
71153;46.8209;4.4257
57227;49.1737;6.8950
78126;48.8471;2.1358
77294;48.9796;2.6189
91161;48.7074;2.3118
21054;47.0093;4.8835
22113;48.7116;-3.4694
35115;48.3524;-1.1951
84054;43.9157;5.0862
59271;51.0166;2.2904
76451;49.4670;1.0814
57631;49.1057;7.1177
46042;44.4508;1.4405
33075;44.8890;-0.6007
26058;44.9653;4.8944
73011;45.6747;6.3695
79049;46.8620;-0.4716
94037;48.8130;2.3432
63124;45.7314;3.2171
06157;43.7527;7.0603
97305;4.9822;-52.5087
94021;48.7668;2.3527
59507;50.6049;3.0921
06085;43.5961;7.0012
35047;48.0258;-1.7487
14366;49.1310;0.2591
67462;48.2649;7.4899
83047;43.1636;6.0928
84089;43.7092;5.6112
77285;48.5351;2.6073
97229;14.6462;-61.1003
50502;49.1200;-1.0889
38553;45.5955;5.1524
17306;45.6547;-1.0122
35360;48.1380;-1.1897
91326;48.6916;2.3747
69199;45.7014;4.8504
88413;48.2770;6.9444
03190;46.5705;3.2797
84129;44.0151;4.8664
77053;48.6936;2.6318
56162;47.7327;-3.4422
63300;45.9060;3.1230
38229;45.2123;5.7844
35051;48.1206;-1.5969
44131;47.1222;-2.0519
94019;48.7980;2.5419
27375;49.1855;1.1391
49244;47.3431;-0.8062
97115;16.2410;-61.6688
59220;50.5940;3.0722
59299;50.6531;3.1923
67043;48.6227;7.7565
43157;45.0563;3.8645
83123;43.1388;5.7957
16102;45.6930;-0.3423
77296;48.6199;2.6356
94015;48.8391;2.5237
13026;43.3864;5.1476
95218;49.0207;2.1015
84092;43.9685;4.8653
41194;47.3812;1.7661
33167;44.8258;-0.5133
94011;48.7736;2.4883
54329;48.5820;6.5353
30028;44.1738;4.6090
97207;14.5779;-60.9675
64260;43.3478;-1.7122
25462;46.9030;6.3641
95598;48.9883;2.3011
38382;45.2676;5.6962
04070;44.1283;6.2518
95476;49.0683;2.0636
69081;45.7817;4.7726
62215;50.4896;2.9487
83116;43.4794;5.8414
78335;49.0192;1.6932
95323;49.0112;2.0334
83023;43.3989;6.0121
97608;-12.7855;45.2833
74081;46.0342;6.6184
31044;43.6044;1.5286
92033;48.8454;2.1876
97129;16.2939;-61.7108
97107;16.0552;-61.6118
49331;47.6902;-0.8418
33003;44.9552;-0.5028
06161;43.6495;7.1064
38193;45.6170;5.2228
63075;45.7743;3.0619
14762;48.8627;-0.9046
62065;50.4040;2.8267
57757;49.3625;6.2749
34129;43.5637;3.9027
